cik,company_name,form_type,date_filed,file_path,year,quarter
0001064722,GIVEMEPOWER CORP,10-K,2021-04-14,edgar/data/1064722/0001760319-21-000039.txt,2021,QTR2
0001065078,NETWORK 1 TECHNOLOGIES INC,10-K/A,2021-04-22,edgar/data/1065078/0001072613-21-000374.txt,2021,QTR2
0001065332,NIC INC,10-K/A,2021-04-20,edgar/data/1065332/0001065332-21-000009.txt,2021,QTR2
0001067873,AS-IP TECH INC,10-K,2021-05-06,edgar/data/1067873/0001393905-21-000232.txt,2021,QTR2
0001070050,AppTech Corp.,10-K/A,2021-04-30,edgar/data/1070050/0001575705-21-000225.txt,2021,QTR2
0001080448,PATRIOT GOLD CORP,10-K,2021-04-14,edgar/data/1080448/0001683168-21-001392.txt,2021,QTR2
0001081938,"CANNAPHARMARX, INC.",10-K,2021-04-14,edgar/data/1081938/0001683168-21-001389.txt,2021,QTR2
0001084475,"Video River Networks, Inc.",10-K,2021-04-14,edgar/data/1084475/0001760319-21-000037.txt,2021,QTR2
0001085913,FARMERS & MERCHANTS BANCORP,10-K/A,2021-04-27,edgar/data/1085913/0001140361-21-014513.txt,2021,QTR2
0001086745,"AYRO, Inc.",10-K/A,2021-04-30,edgar/data/1086745/0001493152-21-010208.txt,2021,QTR2
0001089297,NOVAGANT CORP,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001168.txt,2021,QTR2
0001089297,NOVAGANT CORP,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001172.txt,2021,QTR2
0001089297,NOVAGANT CORP,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001180.txt,2021,QTR2
0001089297,NOVAGANT CORP,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001182.txt,2021,QTR2
0001089297,NOVAGANT CORP,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001184.txt,2021,QTR2
0001089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,10-K/A,2021-04-30,edgar/data/1089511/0001437749-21-010392.txt,2021,QTR2
0001089815,"U.S. NeuroSurgical Holdings, Inc.",10-K,2021-04-07,edgar/data/1089815/0001140361-21-011976.txt,2021,QTR2
0001089907,SWK Holdings Corp,10-K/A,2021-04-30,edgar/data/1089907/0001552781-21-000270.txt,2021,QTR2
0001092662,"CHEMBIO DIAGNOSTICS, INC.",10-K/A,2021-04-30,edgar/data/1092662/0001140361-21-015342.txt,2021,QTR2
0001095315,PFSWEB INC,10-K/A,2021-04-30,edgar/data/1095315/0001095315-21-000077.txt,2021,QTR2
0000109657,"GT Biopharma, Inc.",10-K,2021-04-16,edgar/data/109657/0001654954-21-004295.txt,2021,QTR2
0001098146,PATRIOT NATIONAL BANCORP INC,10-K/A,2021-04-30,edgar/data/1098146/0001437749-21-010394.txt,2021,QTR2
0001099132,MANHATTAN SCIENTIFICS INC,10-K,2021-04-15,edgar/data/1099132/0001477932-21-002379.txt,2021,QTR2
0001101026,"Zivo Bioscience, Inc.",10-K/A,2021-04-30,edgar/data/1101026/0001078782-21-000406.txt,2021,QTR2
0001108630,Live Current Media Inc.,10-K/A,2021-04-15,edgar/data/1108630/0001062993-21-003633.txt,2021,QTR2
0001109189,"BASIC ENERGY SERVICES, INC.",10-K/A,2021-04-30,edgar/data/1109189/0001109189-21-000039.txt,2021,QTR2
0001113513,"MobileSmith, Inc.",10-K/A,2021-04-29,edgar/data/1113513/0001654954-21-004790.txt,2021,QTR2
0001130598,"Onconova Therapeutics, Inc.",10-K/A,2021-04-30,edgar/data/1130598/0001104659-21-059160.txt,2021,QTR2
0001132105,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",10-K,2021-04-02,edgar/data/1132105/0001558370-21-003940.txt,2021,QTR2
0001134765,"Charlie's Holdings, Inc.",10-K,2021-04-05,edgar/data/1134765/0001654954-21-003838.txt,2021,QTR2
0001137091,"POWER SOLUTIONS INTERNATIONAL, INC.",10-K/A,2021-04-30,edgar/data/1137091/0001193125-21-145501.txt,2021,QTR2
0001138608,XLR MEDICAL CORP.,10-K,2021-04-15,edgar/data/1138608/0001477932-21-002407.txt,2021,QTR2
0001158114,"APPLIED OPTOELECTRONICS, INC.",10-K/A,2021-04-23,edgar/data/1158114/0001683168-21-001511.txt,2021,QTR2
0001160798,"C2E ENERGY, INC.",10-K,2021-04-06,edgar/data/1160798/0001213900-21-020286.txt,2021,QTR2
0001161582,"GROWLIFE, INC.",10-K,2021-04-15,edgar/data/1161582/0001654954-21-004248.txt,2021,QTR2
0001162112,"RigNet, Inc.",10-K/A,2021-04-29,edgar/data/1162112/0001564590-21-021946.txt,2021,QTR2
0001162283,MORGAN GROUP HOLDING CO,10-K,2021-04-05,edgar/data/1162283/0001140361-21-011666.txt,2021,QTR2
0001163612,PACIFIC VEGAS GLOBAL STRATEGIES INC,10-K,2021-04-14,edgar/data/1163612/0001104659-21-050181.txt,2021,QTR2
0001165639,EARTH LIFE SCIENCES INC,10-K,2021-05-05,edgar/data/1165639/0001199835-21-000260.txt,2021,QTR2
0001167419,"Riot Blockchain, Inc.",10-K/A,2021-04-30,edgar/data/1167419/0001079973-21-000326.txt,2021,QTR2
0001169055,Noble Finance Co,10-K/A,2021-04-16,edgar/data/1169055/0001628280-21-007101.txt,2021,QTR2
0001178697,SONIM TECHNOLOGIES INC,10-K/A,2021-04-06,edgar/data/1178697/0001193125-21-107582.txt,2021,QTR2
0001178697,SONIM TECHNOLOGIES INC,10-K/A,2021-06-16,edgar/data/1178697/0001193125-21-192104.txt,2021,QTR2
0001182534,"VOLKSWAGEN AUTO LEASE/LOAN UNDERWRITTEN FUNDING, LLC",10-K/A,2021-05-20,edgar/data/1182534/0001193125-21-167366.txt,2021,QTR2
0001182534,"VOLKSWAGEN AUTO LEASE/LOAN UNDERWRITTEN FUNDING, LLC",10-K/A,2021-05-20,edgar/data/1182534/0001193125-21-167369.txt,2021,QTR2
0001182534,"VOLKSWAGEN AUTO LEASE/LOAN UNDERWRITTEN FUNDING, LLC",10-K/A,2021-05-20,edgar/data/1182534/0001193125-21-167372.txt,2021,QTR2
0001224133,MARCHEX INC,10-K/A,2021-04-30,edgar/data/1224133/0001564590-21-022074.txt,2021,QTR2
0001236424,NISSAN MASTER OWNER TRUST RECEIVABLES,10-K,2021-06-29,edgar/data/1236424/0001193125-21-203290.txt,2021,QTR2
0001245791,"GI DYNAMICS, INC.",10-K/A,2021-06-11,edgar/data/1245791/0001213900-21-031994.txt,2021,QTR2
0001253347,COMMONWEALTH INCOME & GROWTH FUND V,10-K,2021-04-19,edgar/data/1253347/0001654954-21-004298.txt,2021,QTR2
0001266806,SECOND SIGHT MEDICAL PRODUCTS INC,10-K/A,2021-04-14,edgar/data/1266806/0001564590-21-018750.txt,2021,QTR2
0001266806,SECOND SIGHT MEDICAL PRODUCTS INC,10-K/A,2021-04-27,edgar/data/1266806/0001564590-21-020872.txt,2021,QTR2
0001267425,BF Garden Tax Credit Fund V L.P.,10-K,2021-06-28,edgar/data/1267425/0001104659-21-086267.txt,2021,QTR2
0001274032,"Simply, Inc.",10-K,2021-04-30,edgar/data/1274032/0001564590-21-022561.txt,2021,QTR2
0001274737,EXAGEN INC.,10-K/A,2021-04-01,edgar/data/1274737/0001274737-21-000027.txt,2021,QTR2
0001279704,"Cellectar Biosciences, Inc.",10-K/A,2021-04-30,edgar/data/1279704/0001104659-21-058983.txt,2021,QTR2
0001279715,"Wright Investors Service Holdings, Inc.",10-K/A,2021-04-23,edgar/data/1279715/0001214659-21-004410.txt,2021,QTR2
0001282224,"Dolphin Entertainment, Inc.",10-K/A,2021-04-30,edgar/data/1282224/0001553350-21-000327.txt,2021,QTR2
0001284454,ENVIRONMENTAL CONTROL CORP.,10-K,2021-05-21,edgar/data/1284454/0001477932-21-003467.txt,2021,QTR2
0001285543,StrikeForce Technologies Inc.,10-K,2021-04-13,edgar/data/1285543/0001477932-21-002231.txt,2021,QTR2
0001287865,MEDICAL PROPERTIES TRUST INC,10-K/A,2021-06-09,edgar/data/1287865/0001564590-21-032186.txt,2021,QTR2
0001288855,"OptimumBank Holdings, Inc.",10-K/A,2021-04-30,edgar/data/1288855/0001493152-21-010255.txt,2021,QTR2
0001289945,"Spok Holdings, Inc",10-K/A,2021-04-30,edgar/data/1289945/0001289945-21-000030.txt,2021,QTR2
0001295961,QUANTUM ENERGY INC.,10-K,2021-04-26,edgar/data/1295961/0001437749-21-009779.txt,2021,QTR2
0001295961,QUANTUM ENERGY INC.,10-K,2021-06-15,edgar/data/1295961/0001437749-21-014770.txt,2021,QTR2
0001301838,"Premier Product Group, Inc.",10-K,2021-05-06,edgar/data/1301838/0001477932-21-002900.txt,2021,QTR2
0001304280,Novelis Inc.,10-K/A,2021-06-23,edgar/data/1304280/0001304280-21-000030.txt,2021,QTR2
0001304280,Novelis Inc.,10-K,2021-05-12,edgar/data/1304280/0001304280-21-000025.txt,2021,QTR2
0001304409,ATHENA GOLD CORP,10-K/A,2021-05-21,edgar/data/1304409/0001683168-21-002170.txt,2021,QTR2
0001308027,Vystar Corp,10-K,2021-04-16,edgar/data/1308027/0001493152-21-008955.txt,2021,QTR2
0001310630,China Foods Holdings Ltd.,10-K,2021-04-13,edgar/data/1310630/0001493152-21-008621.txt,2021,QTR2
0001314102,"EyePoint Pharmaceuticals, Inc.",10-K/A,2021-05-04,edgar/data/1314102/0001193125-21-149160.txt,2021,QTR2
