cik,company_name,form_type,date_filed,file_path,year,quarter
0001575295,Allied Corp.,10-K,2020-12-16,edgar/data/1575295/0001477932-20-007331.txt,2020,QTR4
0001577791,Oaktree Strategic Income Corp,10-K/A,2020-12-18,edgar/data/1577791/0001193125-20-321636.txt,2020,QTR4
0001577791,Oaktree Strategic Income Corp,10-K,2020-11-19,edgar/data/1577791/0001577791-20-000015.txt,2020,QTR4
0001578776,"PRUDENTIAL BANCORP, INC.",10-K,2020-12-18,edgar/data/1578776/0001558370-20-014473.txt,2020,QTR4
0001581280,Twist Bioscience Corp,10-K,2020-11-27,edgar/data/1581280/0001193125-20-303904.txt,2020,QTR4
0001582244,Corning Natural Gas Holding Corp,10-K/A,2020-12-22,edgar/data/1582244/0001174947-20-001236.txt,2020,QTR4
0001582244,Corning Natural Gas Holding Corp,10-K,2020-12-21,edgar/data/1582244/0001174947-20-001229.txt,2020,QTR4
0001584509,Aramark,10-K,2020-11-24,edgar/data/1584509/0001584509-20-000230.txt,2020,QTR4
0001589526,Blue Bird Corp,10-K,2020-12-17,edgar/data/1589526/0001589526-20-000112.txt,2020,QTR4
0001591565,"BALLY, CORP.",10-K,2020-12-22,edgar/data/1591565/0001640334-20-003131.txt,2020,QTR4
0001592706,"SB/RH Holdings, LLC",10-K,2020-11-18,edgar/data/1592706/0000109177-20-000058.txt,2020,QTR4
0001592782,Nukkleus Inc.,10-K,2020-12-28,edgar/data/1592782/0001213900-20-044802.txt,2020,QTR4
0001601046,"Keysight Technologies, Inc.",10-K,2020-12-17,edgar/data/1601046/0001601046-20-000154.txt,2020,QTR4
0001603345,Agentix Corp.,10-K/A,2020-11-23,edgar/data/1603345/0001477932-20-006884.txt,2020,QTR4
0001603345,Agentix Corp.,10-K,2020-12-09,edgar/data/1603345/0001477932-20-007176.txt,2020,QTR4
0001603494,"PeerLogix, Inc.",10-K,2020-12-18,edgar/data/1603494/0001683168-20-004377.txt,2020,QTR4
0000016040,CABOT CORP,10-K,2020-11-25,edgar/data/16040/0001564590-20-055198.txt,2020,QTR4
0001604627,"KushCo Holdings, Inc.",10-K,2020-11-10,edgar/data/1604627/0001604627-20-000040.txt,2020,QTR4
0001604643,Evoqua Water Technologies Corp.,10-K,2020-11-20,edgar/data/1604643/0001604643-20-000035.txt,2020,QTR4
0001604930,"Life Clips, Inc.",10-K,2020-11-25,edgar/data/1604930/0001493152-20-022464.txt,2020,QTR4
0001605331,AB INTERNATIONAL GROUP CORP.,10-K,2020-12-09,edgar/data/1605331/0001663577-20-000454.txt,2020,QTR4
0001606163,"Limbach Holdings, Inc.",10-K/A,2020-12-04,edgar/data/1606163/0001628280-20-017124.txt,2020,QTR4
0001607962,ReWalk Robotics Ltd.,10-K/A,2020-12-18,edgar/data/1607962/0001178913-20-003397.txt,2020,QTR4
0000016099,LUBYS INC,10-K,2020-12-09,edgar/data/16099/0000016099-20-000124.txt,2020,QTR4
0001613665,"Great Western Bancorp, Inc.",10-K,2020-11-23,edgar/data/1613665/0001613665-20-000097.txt,2020,QTR4
0001616741,"PATRIOT TRANSPORTATION HOLDING, INC.",10-K,2020-12-11,edgar/data/1616741/0001616741-20-000037.txt,2020,QTR4
0001617351,"Mu Yan Technology Group Co., Ltd",10-K,2020-11-13,edgar/data/1617351/0001493152-20-021259.txt,2020,QTR4
0001618181,World Gold Trust,10-K,2020-11-23,edgar/data/1618181/0001193125-20-301507.txt,2020,QTR4
0001619096,Summit Networks Inc.,10-K,2020-11-13,edgar/data/1619096/0001213900-20-036967.txt,2020,QTR4
0001622231,BOATIM INC.,10-K,2020-12-02,edgar/data/1622231/0001640334-20-002995.txt,2020,QTR4
0001623360,Mirage Energy Corp,10-K,2020-11-19,edgar/data/1623360/0001640334-20-002886.txt,2020,QTR4
0001626644,"Odyssey Group International, Inc.",10-K/A,2020-11-13,edgar/data/1626644/0001683168-20-003882.txt,2020,QTR4
0001626644,"Odyssey Group International, Inc.",10-K,2020-11-16,edgar/data/1626644/0001683168-20-003913.txt,2020,QTR4
0001627041,VISIBER57 CORP.,10-K,2020-11-30,edgar/data/1627041/0001493152-20-022651.txt,2020,QTR4
0001628228,"OPTILEAF, INC.",10-K,2020-12-22,edgar/data/1628228/0001213900-20-043998.txt,2020,QTR4
0001629205,"GridIron BioNutrients, Inc.",10-K,2020-12-15,edgar/data/1629205/0001477932-20-007273.txt,2020,QTR4
0001632790,"ENERGIZER HOLDINGS, INC.",10-K,2020-11-17,edgar/data/1632790/0001632790-20-000094.txt,2020,QTR4
0001633932,ESSA Pharma Inc.,10-K,2020-12-15,edgar/data/1633932/0001558370-20-014403.txt,2020,QTR4
0001634447,"PECK Co HOLDINGS, INC.",10-K/A,2020-11-30,edgar/data/1634447/0001493152-20-022719.txt,2020,QTR4
0001636051,FUSE GROUP HOLDING INC.,10-K,2020-12-16,edgar/data/1636051/0001185185-20-001756.txt,2020,QTR4
0001644378,RMR GROUP INC.,10-K,2020-11-20,edgar/data/1644378/0001644378-20-000044.txt,2020,QTR4
0001644903,"cbdMD, Inc.",10-K,2020-12-22,edgar/data/1644903/0001654954-20-013835.txt,2020,QTR4
0001645590,Hewlett Packard Enterprise Co,10-K,2020-12-10,edgar/data/1645590/0001645590-20-000056.txt,2020,QTR4
0001647822,SavMobi Technology Inc.,10-K/A,2020-11-09,edgar/data/1647822/0001683168-20-003751.txt,2020,QTR4
0001647822,SavMobi Technology Inc.,10-K/A,2020-11-09,edgar/data/1647822/0001683168-20-003757.txt,2020,QTR4
0001647822,SavMobi Technology Inc.,10-K/A,2020-11-09,edgar/data/1647822/0001683168-20-003765.txt,2020,QTR4
0001649989,"Outlook Therapeutics, Inc.",10-K,2020-12-23,edgar/data/1649989/0001558370-20-014540.txt,2020,QTR4
0001650739,"Ajia Innogroup Holdings, Ltd.",10-K/A,2020-11-23,edgar/data/1650739/0001640334-20-002931.txt,2020,QTR4
0001651992,"Appsoft Technologies, Inc.",10-K,2020-12-03,edgar/data/1651992/0001477932-20-007062.txt,2020,QTR4
0001656501,"BorrowMoney.com, Inc.",10-K,2020-12-01,edgar/data/1656501/0001493152-20-022779.txt,2020,QTR4
0001657249,"Road Marshall, Inc.",10-K,2020-12-15,edgar/data/1657249/0001599916-20-000158.txt,2020,QTR4
0001659207,Fellazo Corp,10-K,2020-12-28,edgar/data/1659207/0001640334-20-003150.txt,2020,QTR4
0001663641,Ando Holdings Ltd.,10-K/A,2020-11-20,edgar/data/1663641/0001393905-20-000336.txt,2020,QTR4
0001666138,Atkore International Group Inc.,10-K,2020-11-19,edgar/data/1666138/0001666138-20-000123.txt,2020,QTR4
0001667313,"Zedge, Inc.",10-K/A,2020-12-09,edgar/data/1667313/0001213900-20-041739.txt,2020,QTR4
0001668523,GSG GROUP INC.,10-K,2020-12-01,edgar/data/1668523/0001640334-20-002974.txt,2020,QTR4
0001670196,Deseo Swimwear Inc.,10-K/A,2020-12-21,edgar/data/1670196/0001477932-20-007413.txt,2020,QTR4
0001670541,Adient plc,10-K,2020-11-30,edgar/data/1670541/0001670541-20-000080.txt,2020,QTR4
0001672013,Acushnet Holdings Corp.,10-K/A,2020-12-17,edgar/data/1672013/0001672013-20-000065.txt,2020,QTR4
0001674862,ASHLAND GLOBAL HOLDINGS INC,10-K,2020-11-23,edgar/data/1674862/0001564590-20-054890.txt,2020,QTR4
0001674910,VALVOLINE INC,10-K,2020-11-24,edgar/data/1674910/0001674910-20-000221.txt,2020,QTR4
0001675634,"ShiftPixy, Inc.",10-K,2020-11-30,edgar/data/1675634/0001104659-20-130495.txt,2020,QTR4
0001680689,Boxxy Inc.,10-K,2020-12-28,edgar/data/1680689/0001640334-20-003148.txt,2020,QTR4
0001681622,Varex Imaging Corp,10-K,2020-11-30,edgar/data/1681622/0001681622-20-000116.txt,2020,QTR4
0001681769,Clancy Corp,10-K,2020-11-12,edgar/data/1681769/0001520138-20-000536.txt,2020,QTR4
0001685237,TEMIR CORP.,10-K,2020-12-15,edgar/data/1685237/0001213900-20-042718.txt,2020,QTR4
0001685570,"Nanovation Microtech, Inc.",10-K,2020-12-10,edgar/data/1685570/0001640334-20-003033.txt,2020,QTR4
0001686515,Ecco Auto World Corp,10-K/A,2020-11-20,edgar/data/1686515/0001493152-20-022058.txt,2020,QTR4
0001691077,"Rideshare Rental, Inc.",10-K/A,2020-11-25,edgar/data/1691077/0001493152-20-022527.txt,2020,QTR4
0001697834,"Stem Holdings, Inc.",10-K/A,2020-12-28,edgar/data/1697834/0001493152-20-024369.txt,2020,QTR4
0001697834,"Stem Holdings, Inc.",10-K,2020-12-28,edgar/data/1697834/0001493152-20-024305.txt,2020,QTR4
0001699126,Ciclet Holdings Inc.,10-K,2020-12-02,edgar/data/1699126/0001640334-20-002990.txt,2020,QTR4
0001715268,"Golub Capital BDC 3, Inc.",10-K,2020-12-14,edgar/data/1715268/0001715268-20-000063.txt,2020,QTR4
0001715433,Leader Capital Holdings Corp.,10-K,2020-12-15,edgar/data/1715433/0001493152-20-023636.txt,2020,QTR4
